no mask,dash first iteration,fsharp first iteration,dash final,fsharp final,
9.65216,1.4038,14.59,35.841,2.653,
9.1248,0.6918,15.4483,42.542,1.8697,
9.17336,1.6873,11.5369,40.884,1.7682,
7.48968,0.9486,13.7372,74.77,1.5266,
10.04984,0.8254,10.7289,88.117,1.6996,
8.74384,1.1266,11.5663,82.667,0.0773,
8.014,0.2069,11.1978,83.922,0.9968,
8.07696,0.6274,11.3428,95.385,0.2925,
9.0092,2.2962,9.2275,119.577,0.5684,
9.5852,1.8822,7.4228,130.556,0.1879,
6.72712,3.9955,6.1387,120.651,0.1456,
7.5424,4.504,6.8795,98.894,0,
10.96984,10.1925,6.9002,78.833,1.1308,
11.34424,8.4139,6.5363,64.5,0.9246,
6.19168,9.5454,8.9259,69.423,0.5574,
4.40128,9.0048,8.3161,65.321,0.56,
6.91248,15.1346,4.3805,52.286,0.4173,
3.07728,26.0968,2.0451,43.231,1.5143,
6.29928,35.7918,2.0909,39.141,0.2221,
5.64872,35.0077,1.7368,36.464,1.2918,
3.92736,32.0233,1.5782,25.371,0.0462,
2.74136,32.5204,2.0558,16.083,0.4077,
2.82864,35.2778,0.5054,8.52,0.1281,
1.05144,36.709,0.1467,8.258,1.5279,
0.79112,49.1808,0.6858,0.424,0.9353,
0.58576,42.0069,2.635,2.917,0.0311,
0.608,57.9401,1.5128,3.393,0.7003,
0.64872,54.9905,0.5175,2.22,0.9818,
0.05896,54.5047,1.0713,2.309,1.3476,
0.02216,50.8284,1.5805,1.37,1.3846,
0.5636,44.5153,0.895,0.298,0.7957,
0.13472,52.8628,1.9572,0.578,0.3315,
0.05984,43.1347,1.5402,1.378,0.8927,
1.6812,41.6794,1.3771,1.933,0,
0.62496,36.5356,1.5252,0.909,1.2336,
0.31512,32.2971,0.0815,0.205,2.7049,
0.36568,36.2203,1.4734,0.462,0.5133,
0.15264,25.2434,1.0131,1.417,1.0038,
1.1316,17.5739,0.4305,2.212,1.4907,
1.53128,10.632,0.3379,1.731,1.4737,
0.448,2.8659,2.4602,0.215,1.5466,
0.10288,2.4529,0.8734,0,0.5355,
1.084,2.1691,0.6782,0.366,0.4113,
1.23728,0.3554,1.6667,2.245,0.3047,
0.18096,0.587,1.2413,0.226,0.9275,
0.2884,0.7904,1.4102,1.981,1,
0.05056,0.9008,0.5117,1.365,1.0858,
0.35632,1.2644,0.9317,0.118,1.7597,
0.57264,0.5874,1.1481,0.987,0.4549,
1.09472,0.0513,0.78,2.312,0.8544,
1.04864,1.0911,1.6352,0.549,2.6527,
0.15632,0.9526,0.5973,0.868,1.708,
0.33648,0.5367,1.6472,2.022,1.4571,
0.08008,0.9239,1.4817,1.667,0.7216,
0.7468,0.9538,1.3479,1.994,0.6309,
0.3584,0.9701,0.0063,1.995,0.7511,
0.3056,1.3754,0.1839,2.081,0.5966,
1.75528,0.5836,2.3372,2.4,1.566,
0.5924,0.7374,1.1034,1.941,1.8848,
0.53336,1.2119,0.4618,1.089,2.2417,
0.67096,0.4492,0.5868,0.819,3.4214,
0.39576,0.6897,0.9382,1.667,1.0125,
0.28248,0.3186,0.5013,2.128,0.0815,
0.50712,0,1.133,0.935,0.3122,
0.8,0.2144,2.1268,0.326,2.465,
0.53056,0.6358,1.4721,0.396,2.9485,
0.25576,1,1.1742,1.173,1.6983,
0.9684,1.4497,2.1034,2.375,1.3487,
0.85616,1.2874,2.2556,7.23E-04,1.7158,
0.20096,0.7267,1.444,0.324,3.6697,
0.54656,0.6752,1.8736,0.046,3.9099,
0.26104,0.5489,0.0019,0.073,2.3244,
0.494,0.0263,0.4074,1.253,1.6609,
0.56488,0.0457,1.0178,2.396,1.1631,
0.67368,0.4609,1.9466,1.742,2.3884,
0.38392,0.7821,0.6527,0.748,1.2456,
0.17872,0.4788,1.365,2.52,0.1216,
0.51672,0.0841,0.2146,1.037,1.3793,
1.52536,0.3784,0.5844,0.613,2.9036,
0.06648,0.8896,1.1724,1.141,1.9077,
1.2808,0.5723,1.3222,1.865,1.122,
0.88568,0.3003,1.4839,1.711,1.0277,
1.53264,0,1.1906,1.098,1.0621,
0.28216,0,1,3.089,0.8462,
0.13664,0,1.4929,3.12,1.3765,
0.05744,0.2744,0.566,3.25,2.3009,
0.40032,0.8117,0.3602,3.906,0.8755,
0.07576,0.7231,1.0493,1.817,0.0944,
0.52704,1.3483,1.4915,0.411,1.0153,
0.57768,1.4382,1.1175,2.523,1.7775,
0.67776,1.19,0.8912,2.502,1.008,
0.33936,1.7077,0.9568,1.516,0.3214,
0,1.1333,1.2682,0.135,0.2232,
0.20864,1.5489,2.0752,2.37,0.4684,
0.75344,1.4812,0.5517,1.668,1.735,
2.57608,1.7035,0.9676,2.814,1.3012,
1.04944,0.1356,1,2.666,0.7339,
1.472,0.8161,2.8323,3.5,0.6759,
1.11168,1.2711,1.0494,1.213,1.0667,
0.94776,4.5352,2.6594,0.968,3.0607,
0.52992,0.8952,2.2477,1.215,0.9013,
0.36568,2.0662,2.2222,1.315,1.3777,
1.00056,0.1561,2.4656,0.558,1,
0.28624,1.877,1.7907,1.812,,
0.78672,1.7243,2.3538,2.59,,
0.73568,1.6139,3.5368,2.493,,
0.07024,1.0036,1.824,2.316,,
2.34392,1.2075,1.1135,2.193,,
1.45176,0.0568,1.8008,0.503,,
1.03936,0.1262,0.7895,1.167,,
1.9312,1.6487,1.5858,2.718,,
1.82176,0.0826,1.2277,2.122,,
1.50944,0.9338,1.2212,1.824,,
1.61744,1.5434,1.099,0.023,,
1.31192,0.176,1.0994,0.51,,
0.5752,0.8959,1.5945,0.026,,
0.24536,0.7381,0.6231,0.006,,
1.1192,0.0694,1.5134,0.806,,
0.81688,0.3167,0.7618,0.24,,
0.99136,0.0312,0.2713,0.179,,
0.36024,0.8328,1.4352,0.531,,
0.53056,0.156,1.0309,0.5,,
0.8,0.484,0.9185,1.006,,
0.8296,0.9338,0.8774,0.892,,
0.54736,0.276,0.3464,1.102,,
0.31608,0.6167,0.714,1.519,,
0.01968,0.2352,0.7854,1.151,,
0.4612,1.388,0.0111,0.604,,
0.94728,0.4551,0.7052,1.374,,
1.96864,0,0.3391,0.736,,
1.09544,0.4503,1.59E-12,0.414,,
0.13912,0.3819,,1,,
0.07752,0.6711,,1.294,,
0,1.1397,,3.167,,
0.1684,1.8666,,3.418,,
0.224,1.052,,0.594,,
0,0.5368,,0.164,,
0.3752,0.3083,,1.655,,
0.13128,0.0153,,0.613,,
0,0.0842,,0.141,,
0,0.3091,,0.083,,
0,0.7737,,0.185,,
0,0.6427,,0.931,,
0.20184,0.1893,,0.451,,
0.06792,0.0104,,0.673,,
0.40192,0.1451,,1.812,,
0.0328,0.3123,,1.505,,
0.24736,1.5041,,0.954,,
0.80416,1.7211,,0.746,,
0.82512,0.7192,,0.667,,
0.77008,0.0103,,0.373,,
1.04104,0.3138,,1.089,,
0.12912,0.1801,,1.897,,
0.73544,0,,1.833,,
5.46E-13,0.2828,,1.638,,
,0.2228,,0.522,,
,0.3785,,1.233,,
,0.6341,,1.42E-12,,
,0.2407,,,,
,0.339,,,,
,0.1138,,,,
,0.1231,,,,
,0,,,,
,0.3091,,,,
,0.6532,,,,
,0.5052,,,,
,0.6641,,,,
,0.7481,,,,
,1.7707,,,,
,0.8423,,,,
,0.6751,,,,
,0.598,,,,
,1.2021,,,,
,0.6909,,,,
,0,,,,
,0.1388,,,,
,0.9566,,,,
,0.878,,,,
,0.0669,,,,
,0.8297,,,,
,0.9214,,,,
,0.2064,,,,
,0.6517,,,,
,0.4796,,,,
,0.0169,,,,
,0.3302,,,,
,5.56E-24,,,,
