no mask,fsharp1,fsharp_final,dash1,dash final
13.7832,4.8288,37.361,11.8338,3.489
16.3567,4.5064,33.157,10.201,2.852
13.5113,3.5849,29.092,7.2384,3.917
9.6385,3.0005,22.59,11.3668,2.833
12.2,2.1177,24.03,11.4459,2.853
10.66,2.8805,25.799,10.9276,2.187
8.7041,3.5312,22.141,9.4238,2.871
7.9388,1.8031,18.157,13.5274,3.752
10.6437,2.3094,14.717,8.7002,4.84
6.9967,2.1004,12.151,8.8926,2.983
6.6412,3.5028,12.149,12.2998,3.083
5.3822,2.3835,11.147,12.1524,3.093
7.6009,2.1702,12.521,14.8095,3.182
7.7363,2.8681,13.747,14.8744,4.564
7.2882,2.487,11.361,11.6563,3.137
4.7952,3.2511,7.418,16.5194,3.479
6.5286,3.6421,8.627,12.2281,3.179
8.6667,2.2766,5.298,12.1019,4.475
6.5333,1.7768,6.922,11.9673,3.589
6.7894,3.419,4.859,16.195,4.382
5.4656,2.8269,6.799,10.5745,5.025
5.9209,3.4567,4.532,11.8149,4.424
5.2653,3.0982,3.805,7.651,4
3.6381,3.7888,4.333,8.0938,
3.4015,4.9827,5.418,10.9181,
3.16,4.366,6.875,7.5253,
3.0143,3.4958,6.735,6.6071,
4.1497,3.4971,4.864,4.43,
2.4853,2.3872,4.373,4.4298,
3.7595,5.7245,6.362,5.7967,
5.2128,4.1702,5.452,6.4354,
5.5208,2.9248,3.156,3.5841,
2.5556,3.1277,4.404,2.8268,
3.352,3.8255,3.184,3.1191,
5.4657,4.234,4.985,2.5384,
3.5022,4.4388,5.224,2.1244,
3.1605,4.5006,2.714,2.7891,
4.7959,4.1711,5.373,3.325,
2.3569,4.4979,2.881,2.3456,
3.3378,6.62,2.692,3.1475,
3.5318,4.7729,4.013,3.2344,
4.6453,3.9917,2.758,3.11,
3.2415,2.9316,3.488,3.1553,
3.7241,2.3448,3.591,4.3475,
4.9758,2.7223,3.502,3.144,
3.3561,4.16,3.428,4.5256,
2.78,4.1151,3.268,3.7678,
2.2472,3.4043,6.831,4.1157,
2.6405,2.5177,3.994,4.109,
1.5461,2.1611,3.906,4.7617,
1.6262,3.3245,4.367,5.9141,
3.4929,2.1094,1.91,6.4244,
3.3367,2.2793,3.011,6.6386,
2.7333,2.2435,3.18,6.4739,
2.0132,2.6723,2.424,3.374,
3.3559,3.5731,2.94,4.4737,
3.5505,2.4399,2.068,6.7046,
2.5147,2.2553,3.488,5.9966,
1.9216,2.0962,3.502,3.4036,
2.3561,1.55,2.121,4.8096,
3.9333,4.3106,2.469,5.9427,
4,3.7128,4.241,4.1044,
3.7687,3,4.225,6.71,
2.7282,3.1102,2.463,5.7801,
4.0453,3.4668,3.412,6.5773,
2.8286,2.8426,2.906,6.2452,
2.4145,2.4031,3.118,3,
2,3,2.806,,
,3.2511,3.397,,
,3.0533,5.491,,
,1.9369,2.889,,
,2.619,1.647,,
,3.9674,2.023,,
,4,2.844,,
,3.5859,2.381,,
,3.669,2.667,,
,3.166,5.308,,
,3.5183,3.329,,
,3.2979,3.261,,
,3.3708,1.202,,
,3.1386,1.283,,
,3.5048,2.187,,
,3.9959,4.498,,
,4.2313,2.173,,
,4.4391,1.656,,
,4.0039,2.017,,
,3.3149,2.739,,
,3.1064,2.681,,
,3.293,1.722,,
,3.2366,1.916,,
,4.2085,2.32,,
,4.1997,1.719,,
,3,1.369,,
,,3.486,,
,,2.426,,
,,2.814,,
,,1.187,,
,,2.349,,
,,2.882,,
,,2.304,,
,,3.676,,
,,2.028,,
,,1,,
,,1,,
,,2.064,,
,,2.398,,
,,2,,
